"ID","ACC"
1,"1"
2,"2"
3,"3"
4,"4"
5,"5"
6,"6"
7,"7"
8,"8"
9,"9"
10,"10"
669,"Os10g0136200"
670,"Os12g0277500"
671,"Os02g0469600"
672,"Os05g0215000"
673,"Os05g0108600"
674,"674"
675,"675"
676,"676"
677,"677"
678,"678"
679,"679"
680,"680"
681,"681"
682,"682"
683,"683"
684,"684"
685,"685"
686,"686"
687,"687"
688,"Os09g0570900"
689,"Os09g0555500"
690,"690"
691,"Os02g0246600"
692,"Os06g0542300"
693,"Os10g0371400"
694,"Os02g0611200"
695,"Os08g0435900"
696,"Os08g0112900"
697,"Os12g0502200"
698,"Os11g0312400"
699,"Os11g0673100"
700,"Os02g0226300"
701,"Os06g0702600"
702,"Os11g0210200"
703,"Os09g0508900"
704,"Os02g0115900"
705,"Os03g0214400"
706,"Os03g0146600"
707,"Os12g0463300"
708,"Os12g0496000"
709,"Os12g0561200"
710,"Os02g0227700"
711,"Os11g0513500"
712,"Os12g0256900"
713,"Os09g0567600"
714,"Os06g0254300"
715,"osa-miR160c"
716,"Os05g0506800"
717,"Os08g0537200"
718,"Os12g0211400"
719,"Os06g0293500"
720,"Os03g0144300"
721,"Os02g0145600"
722,"Os06g0343100"
723,"Os01g0764900"
724,"Os10g0136100"
725,"Os08g0433400"
726,"Os02g0152000"
727,"Os01g0576100"
728,"Os03g0270000"
729,"Os07g0668900"
730,"Os04g0616400"
731,"Os04g0565200"
732,"Os02g0697500"
733,"Os01g0922800"
734,"Os05g0445100"
735,"Os05g0183300"
736,"Os02g0137200"
737,"Os03g0293000"
738,"Os05g0422300"
739,"Os01g0743500"
740,"Os05g0402700"
741,"Os05g0296800"
742,"Os01g0952200"
743,"Os06g0690700"
744,"Os08g0132100"
745,"Os09g0305300"
746,"Os01g0788800"
747,"Os02g0135600"
748,"Os01g0115300"
749,"Os05g0529900"
750,"Os01g0377000"
751,"Os04g0283900"
752,"Os02g0534400"
753,"Os06g0167200"
754,"Os02g0184100"
755,"Os10g0571900"
756,"Os01g0706000"
757,"Os06g0121800"
758,"758"
759,"osa-miR531"
760,"760"
761,"761"
762,"762"
763,"763"
764,"764"
765,"765"
766,"766"
767,"767"
768,"768"
769,"769"
770,"770"
771,"771"
772,"Os02g0125800"
773,"Os01g0363300"
774,"Os04g0588800"
775,"775"
776,"Os07g0249200"
777,"Os08g0519100"
778,"Os01g0189700"
779,"Os03g0142800"
780,"Os11g0591200"
781,"Os03g0822200"
782,"Os01g0120400"
783,"Os08g0235600"
784,"Os02g0265900"
785,"Os06g0289900"
786,"Os04g0652600"
787,"Os04g0455900"
788,"Os12g0632700"
789,"Os05g0154800"
790,"Os04g0477500"
791,"Os06g0292100"
792,"Os03g0122600"
793,"Os04g0408600"
794,"Os05g0530400"
795,"Os03g0815100"
796,"Os07g0502000"
797,"Os04g0309100"
798,"Os02g0223200"
799,"Os03g0440900"
800,"Os02g0742900"
801,"Os05g0589700"
802,"Os09g0467400"
803,"Os04g0677100"
804,"Os07g0568000"
805,"Os09g0503400"
806,"Os04g0692600"
807,"Os01g0204000"
808,"Os01g0835900"
809,"Os10g0363700"
810,"Os05g0405900"
811,"Os10g0407000"
812,"Os03g0178200"
813,"Os07g0194800"
814,"Os03g0833900"
815,"Os11g0460800"
816,"Os08g0425800"
817,"Os05g0268500"
818,"Os06g0221100"
819,"Os04g0429800"
820,"Os12g0527900"
821,"Os06g0168000"
822,"Os11g0639300"
823,"Os12g0135200"
824,"824"
825,"Os08g0187900"
826,"Os03g0192700"
827,"Os11g0682000"
828,"Os03g0441000"
829,"Os10g0540200"
830,"Os03g0563300"
831,"Os10g0578800"
832,"Os03g0183000"
833,"Os02g0104400"
834,"Os03g0424800"
835,"Os05g0380300"
836,"836"
837,"Os11g0183700"
838,"Os09g0452700"
839,"Os06g0142400"
840,"Os06g0107800"
841,"Os02g0298100"
842,"Os07g0616500"
843,"Os10g0504600"
844,"Os08g0558000"
845,"845"
846,"846"
847,"847"
848,"848"
849,"849"
850,"850"
851,"851"
852,"852"
853,"853"
854,"854"
855,"855"
856,"856"
857,"Os10g0459900"
858,"osa-miR528"
859,"Os11g0209400"
860,"Os03g0101800"
861,"Os08g0562200"
862,"Os01g0844800"
863,"Os02g0794500"
864,"Os10g0400200"
865,"Os02g0451900"
866,"Os09g0375400"
867,"Os08g0465400"
868,"Os03g0289400"
869,"POsControl0029"
870,"Os11g0600600"
871,"Os01g0740300"
872,"Os05g0157300"
873,"Os02g0800600"
874,"Os03g0688300"
